lex	word	POS	time	gender	case	number	verbal	adj_form	comp	person	aspect	voice	animacy	transitivity	имя	отч	фам	вводн	гео	сокр	обсц	разг	редк	устар
который	которые	APRO			им	мн																		
свойственный	свойственны	A				мн		кр																
состареться	состаревшемуся	V	прош	муж	дат	ед	прич	полн			сов	действ		нп										
в	в	PR																						
свет	свете	S		муж	пр	ед							неод											
и	и	CONJ																						
при	при	PR																						
двор	дворе	S		муж	пр	ед							неод											
значительный	значительному	A		муж	дат	ед		полн																
человек	человеку	S		муж	дат	ед							од											
он	он	SPRO		муж	им	ед				3-л														
подходить	подошел	V	прош	муж		ед	изъяв				сов			нп										
к	к	PR																						
анна	анне	S		жен	пр	ед							од		имя									
павловна	павловне	S		жен	пр	ед							од			отч								
поцеловать	поцеловал	V	прош	муж		ед	изъяв				сов			пе										
ее	ее	APRO			пр	мн																		
рука	руку	S		жен	вин	ед							неод											
подставлять	подставив	V	прош				деепр				сов			пе										
она	ей	SPRO		жен	дат	ед				3-л														
свой	свою	APRO		жен	вин	ед																		
надушить	надушенную	V	прош	жен	вин	ед	прич	полн			сов	страд		пе										
и	и	CONJ																						
сиять	сияющую	V	непрош	жен	вин	ед	прич	полн			несов	действ		нп										
лысина	лысину	S		жен	вин	ед							неод											
и	и	CONJ																						
покойно	покойно	ADV																						
усаживаться	уселся	V	прош	муж		ед	изъяв				сов			нп										
на	на	PR																						
диван	диване	S		муж	пр	ед							неод											
успокаивать	успокойте	V				мн	пов			2-л	сов			пе										
я	меня	SPRO			вин	ед				1-л														
сказать	сказал	V	прош	муж		ед	изъяв				сов			пе										
он	он	SPRO		муж	им	ед				3-л														
не	не	PART																						
изменять	изменяя	V	непрош				деепр				несов			пе										
голос	голоса	S		муж	вин	мн							неод											
и	и	CONJ																						
тон	тоном	S		муж	твор	ед							неод											
в	в	PR																						
который	котором	APRO		муж	пр	ед																		
приличие	приличия	S		сред	вин	мн							неод											
и	и	CONJ																						
участие	участия	S		сред	вин	мн							неод											
просвечивать	просвечивало	V	прош	сред		ед	изъяв				несов			пе										
равнодушие	равнодушие	S		сред	вин	ед							неод											
и	и	CONJ																						
даже	даже	PART																						
насмешка	насмешка	S		жен	им	ед							неод											
как	как	ADVPRO																						
можно	можно	ADV																						
быть	быть	V					инф				несов			нп										
здоровый	здоровой	A		жен	пр	ед		полн																
когда	когда	CONJ																						
нравственный	нравственно	A		сред		ед		кр																
страдать	страдаешь	V	непрош			ед	изъяв			2-л	несов			нп										
разве	разве	PART																						
можно	можно	ADV																						
иметь	имея	V	непрош				деепр				несов			пе										
чувство	чувство	S		сред	вин	ед							неод											
оставаться	оставаться	V					инф				несов			нп										
спокойный	спокойною	A		жен	твор	ед		полн																
в	в	PR																						
наш	наше	APRO		сред	вин	ед																		
время	время	S		сред	вин	ед							неод											
сказать	сказала	V	прош	жен		ед	изъяв				сов			пе										
анна	анна	S		жен	им	ед							од		имя									
павловна	павловна	S		жен	им	ед							од			отч								
вы	вы	SPRO			им	мн				2-л														
весь	весь	APRO		муж	вин	ед							неод											
вечер	вечер	S		муж	вин	ед							неод											
у	у	PR																						
я	меня	SPRO			вин	ед				1-л														
надеяться	надеюсь	V	непрош			ед	изъяв			1-л	несов			нп										
а	а	CONJ																						
праздник	праздник	S		муж	вин	ед							неод											
английский	английского	A		муж	вин	ед		полн					од											
посланник	посланника	S		муж	вин	ед							од											
нынче	нынче	ADV																						
середа	середа	S		жен	им	ед							неод											
я	мне	SPRO			пр	ед				1-л														
надо	надо	ADV																						
показываться	показаться	V					инф				сов			нп										
там	там	ADVPRO																						
сказать	сказал	V	прош	муж		ед	изъяв				сов			пе										
князь	князь	S		муж	им	ед							од											
дочь	дочь	S		жен	вин	ед							од											
заезжать	заедет	V	непрош			ед	изъяв			3-л	сов			нп										
за	за	PR																						
я	мной	SPRO			твор	ед				1-л														
и	и	CONJ																						
повезти	повезет	V	непрош			ед	изъяв			3-л	сов			нп										
я	меня	SPRO			вин	ед				1-л														
ежели	ежели	CONJ																						
бы	бы	PART																						
знать	знали	V	прош			мн	изъяв				несов			пе										
что	что	CONJ																						
вы	вы	SPRO			им	мн				2-л														
это	этого	SPRO		сред	род	ед							неод											
хотеть	хотите	V	непрош			мн	изъяв			2-л	несов			пе										
праздник	праздник	S		муж	вин	ед							неод											
бы	бы	PART																						
отменять	отменили	V	прош			мн	изъяв				сов			пе										
сказать	сказал	V	прош	муж		ед	изъяв				сов			пе										
князь	князь	S		муж	им	ед							од											
по	по	PR																						
привычка	привычке	S		жен	пр	ед							неод											
как	как	CONJ																						
заводить	заведенные	V	прош		вин	мн	прич	полн			сов	страд	неод											
часы	часы	S			вин	мн							неод											
говорить	говоря	V	непрош				деепр				несов			пе										
вещь	вещи	S		жен	пр	ед							неод											
который	которым	APRO			дат	мн																		
он	он	SPRO		муж	им	ед				3-л														
и	и	CONJ																						
не	не	PART																						
хотеть	хотел	V	прош	муж		ед	изъяв				несов			пе										
чтобы	чтобы	CONJ																						
верить	верили	V	прош			мн	изъяв				несов			нп										
князь	князь	S		муж	им	ед							од											
василий	василий	S		муж	им	ед							од		имя									
говорить	говорил	V	прош	муж		ед	изъяв				несов			пе										
всегда	всегда	ADVPRO																						
лениво	лениво	ADV																						
как	как	CONJ																						
актер	актер	S		муж	им	ед							од											
говорить	говорит	V	непрош			ед	изъяв			3-л	несов			пе										
роль	роль	S		жен	вин	ед							неод											
старый	старой	A		жен	пр	ед		полн																
пиес	пиесы	S		муж	вин	мн							неод											
анна	анна	S		жен	им	ед							од		имя									
павловна	павловна	S		жен	им	ед							од			отч								
шерер	шерер	S		муж	им	ед							од				фам							
напротив	напротив	ADV																вводн						
несмотря	несмотря	ADV																						
на	на	PR																						
свой	свои	APRO			им	мн																		
сорок	сорок	NUM			вин																			
год	лет	S		муж	род	мн							неод											
быть	была	V	прош	жен		ед	изъяв				несов			нп										
преисполнять	преисполнена	V	прош	жен		ед	прич	кр			сов	страд		пе										
оживление	оживления	S		сред	вин	мн							неод											
и	и	CONJ																						
порыв	порывов	S		муж	род	мн							неод											
быть	быть	V					инф				несов			нп										
энтузиастка	энтузиасткой	S		жен	твор	ед							од											
сделаться	сделалось	V	прош	сред		ед	изъяв				сов			нп										
ее	ее	APRO			пр	мн																		
общественный	общественным	A			дат	мн		полн																
положение	положением	S		сред	твор	ед							неод											
и	и	CONJ																						
иногда	иногда	ADV																						
когда	когда	CONJ																						
она	ей	SPRO		жен	дат	ед				3-л														
даже	даже	PART																						
то	того	SPRO		сред	род	ед							неод											
не	не	PART																						
хотеться	хотелось	V	прош	сред		ед	изъяв				несов			нп										
она	она	SPRO		жен	им	ед				3-л														
чтобы	чтобы	CONJ																						
не	не	PART																						
обманывать	обмануть	V					инф				сов			пе										
ожидание	ожиданий	S		сред	род	мн							неод											
человек	людей	S		муж	вин	мн							од											
знать	знавших	V	прош		пр	мн	прич	полн			несов	действ		пе										
она	ее	SPRO		жен	вин	ед				3-л														
делаться	делалась	V	прош	жен		ед	изъяв				несов			нп										
энтузиастка	энтузиасткой	S		жен	твор	ед							од											
сдержанный	сдержанная	A		жен	им	ед		полн																
улыбка	улыбка	S		жен	им	ед							неод											
играть	игравшая	V	прош	жен	им	ед	прич	полн			несов	действ		пе										
постоянно	постоянно	ADV																						
на	на	PR																						
лицо	лице	S		сред	пр	ед							неод											
анна	анны	S		жен	род	ед							од		имя									
павловна	павловны	S		жен	род	ед							од			отч								
хотя	хотя	CONJ																						
и	и	CONJ																						
не	не	PART																						
идти	шла	V	прош	жен		ед	изъяв				несов			нп										
к	к	PR																						
ее	ее	APRO			пр	мн																		
отживать	отжившим	V	прош		дат	мн	прич	полн			сов	действ		пе										
черта	чертам	S		жен	дат	мн							неод											
выражать	выражала	V	прош	жен		ед	изъяв				несов			пе										
как	как	CONJ																						
у	у	PR																						
избалованный	избалованных	A			пр	мн		полн																
ребенок	детей	S		муж	вин	мн							од											
постоянный	постоянное	A		сред	вин	ед		полн																
сознание	сознание	S		сред	вин	ед							неод											
свой	своего	APRO		муж	вин	ед							од											
милый	милого	A		муж	вин	ед		полн					од											
недостаток	недостатка	S		муж	род	ед							неод											
от	от	PR																						
который	которого	APRO		муж	вин	ед							од											
она	она	SPRO		жен	им	ед				3-л														
не	не	PART																						
хотеть	хочет	V	непрош			ед	изъяв			3-л	несов			пе										
не	не	PART																						
мочь	может	V	непрош			ед	изъяв			3-л	несов			нп										
и	и	CONJ																						
не	не	PART																						
находить	находит	V	непрош			ед	изъяв			3-л	несов													
нужный	нужным	A			дат	мн		полн																
исправляться	исправляться	V					инф				несов			нп										
в	в	PR																						
середина	середине	S		жен	пр	ед							неод											
разговор	разговора	S		муж	род	ед							неод											
про	про	PR																						
политический	политические	A			вин	мн		полн					неод											
действие	действия	S		сред	вин	мн							неод											
анна	анна	S		жен	им	ед							од		имя									
павловна	павловна	S		жен	им	ед							од			отч								
разгорячаться	разгорячилась	V	прош	жен		ед	изъяв				сов			нп										
ах	ах	INTJ																						
не	не	PART																						
говорить	говорите	V	непрош			мн	изъяв			2-л	несов			пе										
я	мне	SPRO			пр	ед				1-л														
про	про	PR																						
австрия	австрию	S		жен	вин	ед							неод						гео					
я	я	SPRO			им	ед				1-л														
ничто	ничего	SPRO		сред	род	ед																		
не	не	PART																						
понимать	понимаю	V	непрош			ед	изъяв			1-л	несов			пе										
мочь	может	V	непрош			ед	изъяв			3-л	несов			нп										
быть	быть	V					инф				несов			нп										
но	но	CONJ																						
австрия	австрия	S		жен	им	ед							неод						гео					
никогда	никогда	ADVPRO																						
не	не	PART																						
хотеть	хотела	V	прош	жен		ед	изъяв				несов			пе										
и	и	CONJ																						
не	не	PART																						
хотеть	хочет	V	непрош			ед	изъяв			3-л	несов			пе										
война	войны	S		жен	вин	мн							неод											
она	она	SPRO		жен	им	ед				3-л														
предавать	предает	V	непрош			ед	изъяв			3-л	несов			пе										
мы	нас	SPRO			пр	мн				1-л														
россия	россия	S		жен	им	ед							неод						гео					
один	одна	APRO		жен	им	ед																		
должный	должна	A		жен		ед		кр																
быть	быть	V					инф				несов			нп										
спасительница	спасительницей	S		жен	твор	ед							од											
европа	европы	S		жен	вин	мн							неод						гео					
наш	наш	APRO		муж	вин	ед							неод											
благодетель	благодетель	S		муж	им	ед							од											
знать	знает	V	непрош			ед	изъяв			3-л	несов			пе										
свой	свое	APRO		сред	вин	ед																		
высокий	высокое	A		сред	вин	ед		полн																
призвание	призвание	S		сред	вин	ед							неод											
и	и	CONJ																						
быть	будет	V	непрош			ед	изъяв			3-л				нп										
верный	верен	A		муж		ед		кр																
он	ему	SPRO		муж	дат	ед				3-л														
вот	вот	PART																						
один	одно	APRO		сред	вин	ед																		
во	во	PR																						
что	что	SPRO		сред	вин	ед							неод											
я	я	SPRO			им	ед				1-л														
верить	верю	V	непрош			ед	изъяв			1-л	несов			нп										
наш	нашему	APRO		муж	дат	ед																		
добрый	доброму	A		муж	дат	ед		полн																
и	и	CONJ																						
чудный	чудному	A		муж	дат	ед		полн																
государь	государю	S		муж	дат	ед							од											
предстоять	предстоит	V	непрош			ед	изъяв			3-л	несов			нп										
великий	величайшая	A		жен	им	ед		полн	прев															
роль	роль	S		жен	вин	ед							неод											
в	в	PR																						
мир	мире	S		муж	пр	ед							неод											
и	и	CONJ																						
он	он	SPRO		муж	им	ед				3-л														
так	так	ADVPRO																						
добродетельный	добродетелен	A		муж		ед		кр																
и	и	CONJ																						
хороший	хорош	A		муж		ед		кр																
что	что	CONJ																						
бог	бог	S		муж	им	ед							од											
не	не	PART																						
оставлять	оставит	V	непрош			ед	изъяв			3-л	сов			пе										
он	его	SPRO		муж	вин	ед				3-л														
и	и	CONJ																						
он	он	SPRO		муж	им	ед				3-л														
исполнять	исполнит	V	непрош			ед	изъяв			3-л	сов			пе										
свой	свое	APRO		сред	вин	ед																		
призвание	призвание	S		сред	вин	ед							неод											
задавливать	задавить	V					инф				сов			пе										
гидра	гидру	S		жен	вин	ед							од											
революция	революции	S		жен	пр	ед							неод											
который	которая	APRO		жен	им	ед																		
теперь	теперь	ADV																						
еще	еще	ADV																						
ужасно	ужаснее	ADV							срав															
в	в	PR																						
лицо	лице	S		сред	пр	ед							неод											
этот	этого	APRO		муж	вин	ед							од											
убийца	убийцы	S		мж	род	ед							од											
и	и	CONJ																						
злодей	злодея	S		муж	вин	ед							од											
мы	мы	SPRO			им	мн				1-л														
один	одни	APRO			им	мн																		
должный	должны	A				мн		кр																
искупать	искупить	V					инф				сов			пе										
кровь	кровь	S		жен	вин	ед							неод											
праведник	праведника	S		муж	вин	ед							од											
на	на	PR																						
кто	кого	SPRO		муж	вин	ед							од											
мы	нам	SPRO			дат	мн				1-л														
надеяться	надеяться	V					инф				несов			нп										
я	я	SPRO			им	ед				1-л														
вы	вас	SPRO			пр	мн				2-л														
спрашивать	спрашиваю	V	непрош			ед	изъяв			1-л	несов			пе										
англия	англия	S		жен	им	ед							неод						гео					
с	с	PR																						
свой	своим	APRO			дат	мн																		
коммерческий	коммерческим	A			дат	мн		полн																
дух	духом	S		муж	твор	ед							неод											
не	не	PART																						
понимать	поймет	V	непрош			ед	изъяв			3-л	сов													
и	и	CONJ																						
не	не	PART																						
мочь	может	V	непрош			ед	изъяв			3-л	несов			нп										
понимать	понять	V					инф				сов													
весь	всю	APRO		жен	вин	ед																		
высота	высоту	S		жен	вин	ед							неод											
душа	души	S		жен	вин	мн							неод											
император	императора	S		муж	вин	ед							од											
александр	александра	S		муж	вин	ед							од		имя									
она	она	SPRO		жен	им	ед				3-л														
отказываться	отказалась	V	прош	жен		ед	изъяв				сов			нп										
очищать	очистить	V					инф				сов													
мальта	мальту	S		жен	вин	ед							неод						гео					
она	она	SPRO		жен	им	ед				3-л														
хотеть	хочет	V	непрош			ед	изъяв			3-л	несов			пе										
видеть	видеть	V					инф				несов			пе										
искать	ищет	V	непрош			ед	изъяв			3-л	несов			пе										
задний	заднюю	A		жен	вин	ед		полн																
мысль	мысль	S		жен	вин	ед							неод											
наш	наших	APRO			пр	мн																		
действие	действий	S		сред	род	мн							неод											
что	что	CONJ																						
они	они	SPRO			им	мн																		
сказать	сказали	V	прош			мн	изъяв				сов			пе										
новосильцев	новосильцеву	S		муж	дат	ед							од				фам							
ничего	ничего	ADV																						
они	они	SPRO			им	мн																		
не	не	PART																						
понимать	поняли	V	прош			мн	изъяв				сов													
они	они	SPRO			им	мн																		
не	не	PART																						
мочь	могут	V	непрош			мн	изъяв			3-л	несов			нп										
понимать	понять	V					инф				сов													
самоотвержение	самоотвержения	S		сред	вин	мн							неод											
наш	нашего	APRO		муж	вин	ед							од											
император	императора	S		муж	вин	ед							од											
который	который	APRO		муж	вин	ед							неод											
ничто	ничего	SPRO		сред	род	ед																		
не	не	PART																						
хотеть	хочет	V	непрош			ед	изъяв			3-л	несов			пе										
для	для	PR																						
себя	себя	SPRO			вин																			
и	и	CONJ																						
весь	все	APRO			им	мн																		
хотеть	хочет	V	непрош			ед	изъяв			3-л	несов			пе										
для	для	PR																						
благо	блага	S		сред	вин	мн							неод											
мир	мира	S		муж	род	ед							неод											
и	и	CONJ																						
что	что	CONJ																						
они	они	SPRO			им	мн																		
обещать	обещали	V	прош			мн	изъяв				несов			пе										
ничего	ничего	ADV																						
и	и	CONJ																						
что	что	CONJ																						
обещать	обещали	V	прош			мн	изъяв				несов			пе										
и	и	CONJ																						
то	того	SPRO		сред	род	ед							неод											
не	не	PART																						
быть	будет	V	непрош			ед	изъяв			3-л				нп										
пруссия	пруссия	S		жен	им	ед							неод											
уже	уже	ADV																						
объявлять	объявила	V	прош	жен		ед	изъяв				сов			пе										
я	я	SPRO			им	ед				1-л														
верить	верю	V	непрош			ед	изъяв			1-л	несов			нп										
в	в	PR																						
один	одного	APRO		муж	вин	ед							од											
бог	бога	S		муж	вин	ед							од											
и	и	CONJ																						
в	в	PR																						
высокий	высокую	A		жен	вин	ед		полн																
судьба	судьбу	S		жен	вин	ед							неод											
наш	нашего	APRO		муж	вин	ед							од											
милый	милого	A		муж	вин	ед		полн					од											
император	императора	S		муж	вин	ед							од											
он	он	SPRO		муж	им	ед				3-л														
спасать	спасет	V	непрош			ед	изъяв			3-л	сов													
европа	европу	S		жен	вин	ед							неод						гео					
она	она	SPRO		жен	им	ед				3-л														
вдруг	вдруг	ADV																						
останавливаться	остановилась	V	прош	жен		ед	изъяв				сов			нп										
с	с	PR																						
улыбка	улыбкой	S		жен	твор	ед							неод											
насмешка	насмешки	S		жен	вин	мн							неод											
над	над	PR																						
свой	своею	APRO		жен	твор	ед																		
горячность	горячностью	S		жен	твор	ед							неод											
я	я	SPRO			им	ед				1-л														
думать	думаю	V	непрош			ед	изъяв			1-л	несов			нп										
сказать	сказал	V	прош	муж		ед	изъяв				сов			пе										
князь	князь	S		муж	им	ед							од											
улыбаться	улыбаясь	V	непрош				деепр				несов			нп										
что	что	CONJ																						
ежели	ежели	CONJ																						
бы	бы	PART																						
вы	вас	SPRO			пр	мн				2-л														
посылать	послали	V	прош			мн	изъяв				сов													
вместо	вместо	PR																						
наш	нашего	APRO		муж	вин	ед							од											
милый	милого	A		муж	вин	ед		полн					од											
винценгерод	винценгероде	S		муж	пр	ед							неод											
вы	вы	SPRO			им	мн				2-л														
бы	бы	PART																						
взять	взяли	V	прош			мн	изъяв				сов			пе										
приступ	приступом	S		муж	твор	ед							неод											
согласие	согласие	S		сред	вин	ед							неод											
прусский	прусского	A		муж	вин	ед		полн					од											
король	короля	S		муж	вин	ед							од											
вы	вы	SPRO			им	мн				2-л														
так	так	ADVPRO																						
красноречивый	красноречивы	A				мн		кр																
вы	вы	SPRO			им	мн				2-л														
давать	дадите	V	непрош			мн	изъяв			2-л	сов			пе										
я	мне	SPRO			пр	ед				1-л														
чай	чаю	S		муж	дат	ед							неод											
вы	вы	SPRO			им	мн				2-л														
знать	знаете	V	непрош			мн	изъяв			2-л	несов			пе										
этот	этот	APRO		муж	вин	ед							неод											
глубокий	глубокий	A		муж	вин	ед		полн					неод											
ум	ум	S		муж	вин	ед							неод											
он	он	SPRO		муж	им	ед				3-л														
быть	был	V	прош	муж		ед	изъяв				несов			нп										
принимать	принят	V	прош	муж		ед	прич	кр			сов	страд												
государь	государем	S		муж	твор	ед							од											
вы	вы	SPRO			им	мн				2-л														
знать	знаете	V	непрош			мн	изъяв			2-л	несов			пе										
а	а	PART																						
я	я	SPRO			им	ед				1-л														
очень	очень	ADV																						
рад	рад	A		муж		ед		кр																
быть	буду	V	непрош			ед	изъяв			1-л				нп										
сказать	сказал	V	прош	муж		ед	изъяв				сов			пе										
князь	князь	S		муж	им	ед							од											
сказать	скажите	V				мн	пов			2-л	сов			пе										
прибавлять	прибавил	V	прош	муж		ед	изъяв				сов			пе										
он	он	SPRO		муж	им	ед				3-л														
как	как	ADVPRO																						
будто	будто	PART																						
только	только	PART																						
что	что	CONJ																						
вспомнить	вспомнив	V	прош				деепр				сов			пе										
и	и	CONJ																						
особенно	особенно	ADV																						
небрежно	небрежно	ADV																						
тогда	тогда	ADVPRO																						
как	как	ADVPRO																						
то	то	PART																						
о	о	PR																						
что	чем	SPRO		сред	пр	ед							неод											
он	он	SPRO		муж	им	ед				3-л														
спрашивать	спрашивал	V	прош	муж		ед	изъяв				несов			пе										
было	было	PART																						
глава	глав	S		жен	род	мн							неод											
князь	князь	S		муж	им	ед							од											
василий	василий	S		муж	им	ед							од		имя									
желать	желал	V	прош	муж		ед	изъяв				несов			пе										
определять	определить	V					инф				сов			пе										
сын	сына	S		муж	вин	ед							од											
на	на	PR																						
это	это	SPRO		сред	вин	ед							неод											
место	место	S		сред	вин	ед							неод											
который	которое	APRO		сред	вин	ед																		
через	через	PR																						
императрица	императрицу	S		жен	вин	ед							од											
мария	марию	S		жен	вин	ед							од		имя									
феодоровна	феодоровну	S		жен	вин	ед							од			отч								
стараться	старались	V	прош			мн	изъяв				несов			нп										
доставлять	доставить	V					инф				сов			пе										
барон	барону	S		муж	дат	ед							од											
анна	анна	S		жен	им	ед							од		имя									
павловна	павловна	S		жен	им	ед							од			отч								
почти	почти	ADV																						
закрывать	закрыла	V	прош	жен		ед	изъяв				сов													
глаз	глаза	S		муж	вин	мн							неод											
в	в	PR																						
знак	знак	S		муж	вин	ед							неод											
то	того	SPRO		сред	род	ед							неод											
что	что	CONJ																						
ни	ни	CONJ																						
она	она	SPRO		жен	им	ед				3-л														
ни	ни	CONJ																						
кто	кто	SPRO		муж	им	ед							од											
другой	другой	APRO		жен	пр	ед																		
не	не	PART																						
мочь	могут	V	непрош			мн	изъяв			3-л	несов			нп										
судить	судить	V					инф				несов			пе										
про	про	PR																						
то	то	SPRO		сред	вин	ед							неод											
что	что	CONJ																						
угодно	угодно	PART																						
или	или	CONJ																						
нравиться	нравится	V	непрош			ед	изъяв			3-л	несов			нп										
императрица	императрице	S		жен	пр	ед							од											
только	только	PART																						
сказать	сказала	V	прош	жен		ед	изъяв				сов			пе										
она	она	SPRO		жен	им	ед				3-л														
грустный	грустным	A			дат	мн		полн																
сухой	сухим	A			дат	мн		полн																
тон	тоном	S		муж	твор	ед							неод											
в	в	PR																						
тот	то	APRO		сред	вин	ед																		
время	время	S		сред	вин	ед							неод											
как	как	CONJ																						
анна	анна	S		жен	им	ед							од		имя									
павловна	павловна	S		жен	им	ед							од			отч								
называть	назвала	V	прош	жен		ед	изъяв				сов			пе										
императрица	императрицу	S		жен	вин	ед							од											
лицо	лицо	S		сред	вин	ед							неод											
ее	ее	APRO			пр	мн																		
вдруг	вдруг	ADV																						
представлять	представило	V	прош	сред		ед	изъяв				сов			пе										
глубокий	глубокое	A		сред	вин	ед		полн																
и	и	CONJ																						
искренний	искреннее	A		сред	вин	ед		полн																
выражение	выражение	S		сред	вин	ед							неод											
преданность	преданности	S		жен	пр	ед							неод											
и	и	CONJ																						
уважение	уважения	S		сред	вин	мн							неод											
соединять	соединенное	V	прош	сред	вин	ед	прич	полн			сов	страд		пе										
с	с	PR																						
грусть	грустью	S		жен	твор	ед							неод											
что	что	CONJ																						
с	с	PR																						
она	ней	SPRO		жен	пр	ед				3-л														
бывало	бывало	ADV																вводн						
каждый	каждый	APRO		муж	вин	ед							неод											
раз	раз	S		муж	вин	ед							неод											
когда	когда	CONJ																						
она	она	SPRO		жен	им	ед				3-л														
в	в	PR																						
разговор	разговоре	S		муж	пр	ед							неод											
упоминать	упоминала	V	прош	жен		ед	изъяв				несов			пе										
о	о	PR																						
свой	своей	APRO		жен	пр	ед																		
высокий	высокой	A		жен	пр	ед		полн																
покровительница	покровительнице	S		жен	пр	ед							од											
она	она	SPRO		жен	им	ед				3-л														
сказать	сказала	V	прош	жен		ед	изъяв				сов			пе										
что	что	CONJ																						
ее	ее	APRO			пр	мн																		
